price,msrp,discount,name,vin,dealer,city,url
70350.0,,,New 2026 Acura MDX w/A-Spec Advance Package,29488A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-66e80547ac182bd95ba357c79184be9e.htm
70350.0,,,New 2026 Acura MDX w/A-Spec Advance Package,29233A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-a52734d0ac1805bb07a7c50c29df6608.htm
70850.0,,,New 2026 Acura MDX w/A-Spec Advance Package,29086A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-81542618ac182e44295649bfcd4f894f.htm
70850.0,,,New 2026 Acura MDX w/A-Spec Advance Package,29091A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-a8b4fa15ac1852b0d28ee18a6384a33d.htm
70950.0,,,New 2026 Acura MDX w/A-Spec Advance Package,29283A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-06c92473ac183fb2609a9bab526becda.htm
70950.0,,,New 2026 Acura MDX w/A-Spec Advance Package,29553A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-09a8a17bac184759c8b579b47aeeea15.htm
70950.0,,,New 2026 Acura MDX w/A-Spec Advance Package,29568A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-25586c9aac181b397f50d7aca1fc7b2e.htm
70950.0,,,New 2026 Acura MDX w/A-Spec Advance Package,29324A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-50b611f5ac18168a1686c879906a4243.htm
70950.0,,,New 2026 Acura MDX w/A-Spec Advance Package,29508A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-8ffe1118ac181b1b4ac2fb7fd52c3f5a.htm
70950.0,,,New 2026 Acura MDX w/A-Spec Advance Package,29385A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-d217e0a9ac180acbe92e69db9374f4a1.htm
70950.0,,,New 2026 Acura MDX w/A-Spec Advance Package,29253A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-d86fc448ac183da746fed08398d87d10.htm
70950.0,,,New 2026 Acura MDX w/A-Spec Advance Package,29397A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-d9ec6d9fac1859b9e07493c603aac1fb.htm
70950.0,,,New 2026 Acura MDX w/A-Spec Advance Package,29264A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-e9116763ac1805bb07a7c50cd92c72c2.htm
70950.0,,,New 2026 Acura MDX w/A-Spec Advance Package,29419A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-f8b71ea2ac18231ba22e5f481214bb70.htm
70950.0,,,New 2026 Acura MDX w/A-Spec Advance Package,29424A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-faa6287bac180cb6fbf5ec49c28ff535.htm
77300.0,,,New 2026 Acura MDX Type S w/Advance Package,29295A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-27821f0eac182ff5053b2af145036297.htm
77300.0,,,New 2026 Acura MDX Type S w/Advance Package,29521A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-b981277cac184b703a7f6e3f09a0fa2d.htm
77900.0,,,New 2026 Acura MDX Type S w/Advance Package,29387A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-d217d9acac1859b9e07493c66a9f7648.htm
77900.0,,,New 2026 Acura MDX Type S w/Advance Package,29372A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-b0ba4d3bac1837f47d123b90501980d4.htm
77900.0,,,New 2026 Acura MDX Type S w/Advance Package,29254A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-d86fc864ac184fff6390049236a0ccdf.htm
77900.0,,,New 2026 Acura MDX Type S w/Advance Package,29575A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-443eae00ac18494f4214ccecd629c191.htm
77900.0,,,New 2026 Acura MDX Type S w/Advance Package,29491A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-66e80161ac180446b41425b66ccc2575.htm
77900.0,,,New 2026 Acura MDX Type S w/Advance Package,29529A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-dd3da6cfac18473683e04331cd6dc35f.htm
77900.0,,,New 2026 Acura MDX Type S w/Advance Package,29420A,Niello Acura,"Roseville, CA",https://acura.niello.com/new/Acura/2026-Acura-MDX-f8b70fbdac18231ba22e5f48e6daf216.htm
